Images loaded
Labels loaded
Classes loaded
image input size: 75
label input size: 34
start training
labels: 0.013594949	images: 0.010805052	combi: 0.010506945	epochs: 1000 / 1000000
labels: 0.012351161	images: 0.008603692	combi: 0.016023152	epochs: 2000 / 1000000
labels: 0.010191925	images: 0.0077018677	combi: 0.020005243	epochs: 3000 / 1000000
labels: 0.008368782	images: 0.00721544	combi: 0.022172585	epochs: 4000 / 1000000
labels: 0.007692984	images: 0.0070497524	combi: 0.023948316	epochs: 5000 / 1000000
labels: 0.0071970867	images: 0.0064140903	combi: 0.025103755	epochs: 6000 / 1000000
labels: 0.0074711246	images: 0.006344855	combi: 0.026242008	epochs: 7000 / 1000000
labels: 0.0069807693	images: 0.005998255	combi: 0.026533365	epochs: 8000 / 1000000
labels: 0.006656573	images: 0.0058627725	combi: 0.026923517	epochs: 9000 / 1000000
labels: 0.0063999896	images: 0.005636133	combi: 0.027709603	epochs: 10000 / 1000000
labels: 0.0065065282	images: 0.0057934453	combi: 0.027865047	epochs: 11000 / 1000000
labels: 0.006507374	images: 0.0057174424	combi: 0.028012954	epochs: 12000 / 1000000
labels: 0.0071163187	images: 0.005432459	combi: 0.028727515	epochs: 13000 / 1000000
labels: 0.0063365353	images: 0.0054872944	combi: 0.028554128	epochs: 14000 / 1000000
labels: 0.0067135603	images: 0.0055237827	combi: 0.028672926	epochs: 15000 / 1000000
labels: 0.0064515937	images: 0.005407284	combi: 0.028591558	epochs: 16000 / 1000000
labels: 0.0066267727	images: 0.0053786975	combi: 0.02863511	epochs: 17000 / 1000000
labels: 0.007017024	images: 0.005267397	combi: 0.028832618	epochs: 18000 / 1000000
labels: 0.0064478614	images: 0.0054138857	combi: 0.029294197	epochs: 19000 / 1000000
labels: 0.007193002	images: 0.005197457	combi: 0.029404502	epochs: 20000 / 1000000
labels: 0.007059148	images: 0.0052083125	combi: 0.029592222	epochs: 21000 / 1000000
labels: 0.0070344014	images: 0.005300871	combi: 0.029745989	epochs: 22000 / 1000000
labels: 0.006728195	images: 0.0051302593	combi: 0.029808972	epochs: 23000 / 1000000
labels: 0.0062034545	images: 0.0051776012	combi: 0.02960034	epochs: 24000 / 1000000
labels: 0.0066103963	images: 0.0052649784	combi: 0.029718556	epochs: 25000 / 1000000
labels: 0.0060469466	images: 0.0051590754	combi: 0.029750323	epochs: 26000 / 1000000
labels: 0.0061860634	images: 0.0050161947	combi: 0.030136567	epochs: 27000 / 1000000
labels: 0.005931364	images: 0.0052317614	combi: 0.029931465	epochs: 28000 / 1000000
labels: 0.0058205025	images: 0.0049424875	combi: 0.030365815	epochs: 29000 / 1000000
labels: 0.0061489227	images: 0.00499619	combi: 0.030202514	epochs: 30000 / 1000000
labels: 0.0058958316	images: 0.00536203	combi: 0.029951647	epochs: 31000 / 1000000
labels: 0.005876521	images: 0.004889454	combi: 0.030403499	epochs: 32000 / 1000000
labels: 0.006728373	images: 0.005196593	combi: 0.030573262	epochs: 33000 / 1000000
labels: 0.006064266	images: 0.0051202886	combi: 0.030127684	epochs: 34000 / 1000000
labels: 0.0059318477	images: 0.0049614147	combi: 0.030432008	epochs: 35000 / 1000000
labels: 0.0060786074	images: 0.004732408	combi: 0.03043324	epochs: 36000 / 1000000
labels: 0.0063559953	images: 0.005074394	combi: 0.030560106	epochs: 37000 / 1000000
labels: 0.0060172863	images: 0.0051513677	combi: 0.03064239	epochs: 38000 / 1000000
labels: 0.0058367886	images: 0.0048515727	combi: 0.03061211	epochs: 39000 / 1000000
labels: 0.005816086	images: 0.0048478455	combi: 0.030531537	epochs: 40000 / 1000000
labels: 0.006137567	images: 0.0049905027	combi: 0.030528022	epochs: 41000 / 1000000
labels: 0.0065810475	images: 0.0049759913	combi: 0.031094655	epochs: 42000 / 1000000
labels: 0.005953598	images: 0.0051115653	combi: 0.031358827	epochs: 43000 / 1000000
labels: 0.006062324	images: 0.0048035886	combi: 0.031152852	epochs: 44000 / 1000000
labels: 0.005854044	images: 0.0049264943	combi: 0.030847069	epochs: 45000 / 1000000
labels: 0.005753477	images: 0.0048589087	combi: 0.030916667	epochs: 46000 / 1000000
labels: 0.005673875	images: 0.0051141074	combi: 0.030782241	epochs: 47000 / 1000000
labels: 0.0052032233	images: 0.0050344444	combi: 0.030801835	epochs: 48000 / 1000000
labels: 0.004598361	images: 0.004772676	combi: 0.030745875	epochs: 49000 / 1000000
labels: 0.0046356334	images: 0.0046191323	combi: 0.030867213	epochs: 50000 / 1000000
labels: 0.0046157707	images: 0.00491658	combi: 0.031034196	epochs: 51000 / 1000000
labels: 0.004314242	images: 0.0047991467	combi: 0.030720294	epochs: 52000 / 1000000
labels: 0.003894449	images: 0.0049134907	combi: 0.030783033	epochs: 53000 / 1000000
labels: 0.0039433665	images: 0.0050146733	combi: 0.030878942	epochs: 54000 / 1000000
labels: 0.003588758	images: 0.004848379	combi: 0.030763056	epochs: 55000 / 1000000
labels: 0.0038454563	images: 0.004700174	combi: 0.030936593	epochs: 56000 / 1000000
labels: 0.0035896027	images: 0.004845955	combi: 0.030759318	epochs: 57000 / 1000000
labels: 0.003582979	images: 0.004921774	combi: 0.030791739	epochs: 58000 / 1000000
labels: 0.003806749	images: 0.004913575	combi: 0.030893352	epochs: 59000 / 1000000
labels: 0.0028400822	images: 0.004705062	combi: 0.031119049	epochs: 60000 / 1000000
labels: 0.0027735683	images: 0.004650513	combi: 0.031041667	epochs: 61000 / 1000000
labels: 0.0030921553	images: 0.0047337282	combi: 0.031059613	epochs: 62000 / 1000000
labels: 0.0032436654	images: 0.0045905057	combi: 0.031200198	epochs: 63000 / 1000000
labels: 0.0029001911	images: 0.0047231205	combi: 0.031094238	epochs: 64000 / 1000000
labels: 0.0025598092	images: 0.004578095	combi: 0.030791044	epochs: 65000 / 1000000
labels: 0.0033740012	images: 0.0047617597	combi: 0.031613566	epochs: 66000 / 1000000
labels: 0.0035572376	images: 0.004483082	combi: 0.030850735	epochs: 67000 / 1000000
labels: 0.0031800948	images: 0.0044521187	combi: 0.031106014	epochs: 68000 / 1000000
labels: 0.0033107619	images: 0.0046974826	combi: 0.03109828	epochs: 69000 / 1000000
labels: 0.0032904532	images: 0.004548612	combi: 0.031164657	epochs: 70000 / 1000000
labels: 0.002822795	images: 0.004459948	combi: 0.031016188	epochs: 71000 / 1000000
labels: 0.003074071	images: 0.0045142705	combi: 0.030965893	epochs: 72000 / 1000000
labels: 0.0037764476	images: 0.0044525755	combi: 0.030821016	epochs: 73000 / 1000000
labels: 0.0034484044	images: 0.004655562	combi: 0.031321928	epochs: 74000 / 1000000
labels: 0.0035449201	images: 0.0045359763	combi: 0.03129537	epochs: 75000 / 1000000
labels: 0.0031274415	images: 0.0044882	combi: 0.030895676	epochs: 76000 / 1000000
labels: 0.0037093887	images: 0.0046357205	combi: 0.031610206	epochs: 77000 / 1000000
labels: 0.0034837069	images: 0.004675777	combi: 0.031016683	epochs: 78000 / 1000000
labels: 0.0027054297	images: 0.0044289436	combi: 0.031193947	epochs: 79000 / 1000000
labels: 0.002838234	images: 0.0047954493	combi: 0.031602837	epochs: 80000 / 1000000
labels: 0.0027744707	images: 0.004547705	combi: 0.031423677	epochs: 81000 / 1000000
labels: 0.0030938473	images: 0.0045621907	combi: 0.030889988	epochs: 82000 / 1000000
labels: 0.0031617659	images: 0.004422671	combi: 0.03132103	epochs: 83000 / 1000000
labels: 0.0035604876	images: 0.0044787205	combi: 0.030883854	epochs: 84000 / 1000000
labels: 0.003310348	images: 0.004657455	combi: 0.031240262	epochs: 85000 / 1000000
labels: 0.002561908	images: 0.0044146054	combi: 0.031322	epochs: 86000 / 1000000
labels: 0.0024378456	images: 0.00456066	combi: 0.031278808	epochs: 87000 / 1000000
labels: 0.003514985	images: 0.0046485765	combi: 0.030910917	epochs: 88000 / 1000000
labels: 0.0025780273	images: 0.0046654018	combi: 0.031011077	epochs: 89000 / 1000000
labels: 0.0025066088	images: 0.004316893	combi: 0.03139785	epochs: 90000 / 1000000
labels: 0.0026846402	images: 0.0045905802	combi: 0.03117541	epochs: 91000 / 1000000
labels: 0.0027653826	images: 0.0047193095	combi: 0.03142814	epochs: 92000 / 1000000
labels: 0.0016439263	images: 0.0042800424	combi: 0.03097494	epochs: 93000 / 1000000
labels: 0.0030767038	images: 0.00448142	combi: 0.03145318	epochs: 94000 / 1000000
labels: 0.0024189933	images: 0.0046407334	combi: 0.031444743	epochs: 95000 / 1000000
labels: 0.0023355356	images: 0.0044979714	combi: 0.0312931	epochs: 96000 / 1000000
labels: 0.0026781866	images: 0.0044414555	combi: 0.030823648	epochs: 97000 / 1000000
labels: 0.0022580822	images: 0.0044838353	combi: 0.031335756	epochs: 98000 / 1000000
labels: 0.002060829	images: 0.004373011	combi: 0.03074799	epochs: 99000 / 1000000
labels: 0.0021058037	images: 0.0044366997	combi: 0.0311078	epochs: 100000 / 1000000
labels: 0.0024694544	images: 0.0044064135	combi: 0.0315142	epochs: 101000 / 1000000
labels: 0.0013697079	images: 0.0044242814	combi: 0.031183906	epochs: 102000 / 1000000
labels: 0.0022436217	images: 0.004377133	combi: 0.031224476	epochs: 103000 / 1000000
labels: 0.0023736595	images: 0.0042847954	combi: 0.031275988	epochs: 104000 / 1000000
labels: 0.0027509646	images: 0.004415654	combi: 0.03144243	epochs: 105000 / 1000000
labels: 0.0019714849	images: 0.0043800124	combi: 0.031679407	epochs: 106000 / 1000000
labels: 0.0018148774	images: 0.004482381	combi: 0.031506218	epochs: 107000 / 1000000
labels: 0.0015992105	images: 0.0045817303	combi: 0.031087626	epochs: 108000 / 1000000
labels: 0.0023970837	images: 0.0044941995	combi: 0.031192355	epochs: 109000 / 1000000
labels: 0.002231038	images: 0.0043760175	combi: 0.031378515	epochs: 110000 / 1000000
labels: 0.0014037123	images: 0.004270057	combi: 0.03189437	epochs: 111000 / 1000000
labels: 0.0022212102	images: 0.0043627	combi: 0.031416874	epochs: 112000 / 1000000
labels: 0.001790386	images: 0.0044634454	combi: 0.031101262	epochs: 113000 / 1000000
labels: 0.0021247217	images: 0.0042632786	combi: 0.031623762	epochs: 114000 / 1000000
labels: 0.0019915828	images: 0.0044766665	combi: 0.031679463	epochs: 115000 / 1000000
labels: 0.0019862936	images: 0.004292091	combi: 0.03162126	epochs: 116000 / 1000000
labels: 0.0016812327	images: 0.004341787	combi: 0.03147924	epochs: 117000 / 1000000
