Images loaded
Labels loaded
Classes loaded
image input size: 75
label input size: 34
start training
labels: 0.017881135	images: 0.016117938	combi: 0.052870642	assoc: 0.06742335	epochs: 1000 / 1000000
labels: 0.014391722	images: 0.014555527	combi: 0.050985646	assoc: 0.07099363	epochs: 2000 / 1000000
labels: 0.014476468	images: 0.013761665	combi: 0.049763005	assoc: 0.068812385	epochs: 3000 / 1000000
labels: 0.013460482	images: 0.013569267	combi: 0.04970113	assoc: 0.07003828	epochs: 4000 / 1000000
labels: 0.012715343	images: 0.013855624	combi: 0.049326025	assoc: 0.07065521	epochs: 5000 / 1000000
labels: 0.0116707105	images: 0.013794694	combi: 0.04892163	assoc: 0.069998726	epochs: 6000 / 1000000
labels: 0.011589594	images: 0.013451049	combi: 0.048544873	assoc: 0.06993837	epochs: 7000 / 1000000
labels: 0.010747644	images: 0.013448279	combi: 0.04830455	assoc: 0.06908721	epochs: 8000 / 1000000
labels: 0.0097495355	images: 0.013516689	combi: 0.048160788	assoc: 0.068414114	epochs: 9000 / 1000000
labels: 0.009456943	images: 0.013548669	combi: 0.04737389	assoc: 0.06777923	epochs: 10000 / 1000000
labels: 0.009269622	images: 0.0136386715	combi: 0.047408838	assoc: 0.06827433	epochs: 11000 / 1000000
labels: 0.009328224	images: 0.013819181	combi: 0.04747775	assoc: 0.068115965	epochs: 12000 / 1000000
labels: 0.00803662	images: 0.0136261275	combi: 0.04706873	assoc: 0.06753283	epochs: 13000 / 1000000
labels: 0.008997691	images: 0.013654984	combi: 0.04727301	assoc: 0.066049464	epochs: 14000 / 1000000
labels: 0.009022436	images: 0.013893475	combi: 0.04694443	assoc: 0.06680517	epochs: 15000 / 1000000

