label -> error: 0.024114503	CV error: 0.024372943	epochs: 1000 / 1000000
label -> error: 0.017878804	CV error: 0.018131752	epochs: 2000 / 1000000
label -> error: 0.01487871	CV error: 0.01537169	epochs: 3000 / 1000000
label -> error: 0.013585561	CV error: 0.01338559	epochs: 4000 / 1000000
label -> error: 0.012361291	CV error: 0.013232737	epochs: 5000 / 1000000
label -> error: 0.012064478	CV error: 0.011748397	epochs: 6000 / 1000000
label -> error: 0.0109095685	CV error: 0.011393754	epochs: 7000 / 1000000
label -> error: 0.010349562	CV error: 0.010923111	epochs: 8000 / 1000000
label -> error: 0.009791067	CV error: 0.009878974	epochs: 9000 / 1000000
label -> error: 0.00946808	CV error: 0.009290573	epochs: 10000 / 1000000
label -> error: 0.009958151	CV error: 0.00906477	epochs: 11000 / 1000000
label -> error: 0.009061437	CV error: 0.009486024	epochs: 12000 / 1000000
label -> error: 0.009386683	CV error: 0.009546196	epochs: 13000 / 1000000
label -> error: 0.00874092	CV error: 0.0091718575	epochs: 14000 / 1000000
label -> error: 0.009347829	CV error: 0.008642441	epochs: 15000 / 1000000
label -> error: 0.0092514455	CV error: 0.008813095	epochs: 16000 / 1000000
label -> error: 0.008453477	CV error: 0.0082495455	epochs: 17000 / 1000000
label -> error: 0.007915042	CV error: 0.008934217	epochs: 18000 / 1000000
label -> error: 0.00819764	CV error: 0.00837451	epochs: 19000 / 1000000
label -> error: 0.008566745	CV error: 0.007861098	epochs: 20000 / 1000000
label -> error: 0.0067493403	CV error: 0.0076846057	epochs: 21000 / 1000000
label -> error: 0.00738645	CV error: 0.007858791	epochs: 22000 / 1000000
label -> error: 0.007533491	CV error: 0.0076774443	epochs: 23000 / 1000000
label -> error: 0.0071910718	CV error: 0.0078017716	epochs: 24000 / 1000000
label -> error: 0.007201273	CV error: 0.0072561726	epochs: 25000 / 1000000
label -> error: 0.007319841	CV error: 0.0071676616	epochs: 26000 / 1000000
label -> error: 0.0069239023	CV error: 0.00697849	epochs: 27000 / 1000000
label -> error: 0.0066520423	CV error: 0.0065921373	epochs: 28000 / 1000000
label -> error: 0.006609747	CV error: 0.0068408996	epochs: 29000 / 1000000
label -> error: 0.0064689904	CV error: 0.0061840904	epochs: 30000 / 1000000
label -> error: 0.0065937787	CV error: 0.0067863436	epochs: 31000 / 1000000
label -> error: 0.007138865	CV error: 0.0071236277	epochs: 32000 / 1000000
label -> error: 0.006682673	CV error: 0.0063400446	epochs: 33000 / 1000000
label -> error: 0.0060247453	CV error: 0.00573475	epochs: 34000 / 1000000
label -> error: 0.006362988	CV error: 0.00552933	epochs: 35000 / 1000000
label -> error: 0.006203103	CV error: 0.0059160655	epochs: 36000 / 1000000
label -> error: 0.0059139607	CV error: 0.006629085	epochs: 37000 / 1000000
label -> error: 0.006768766	CV error: 0.0060927803	epochs: 38000 / 1000000
label -> error: 0.006472742	CV error: 0.0057117497	epochs: 39000 / 1000000
label -> error: 0.006320586	CV error: 0.005806322	epochs: 40000 / 1000000
label -> error: 0.005623955	CV error: 0.005953192	epochs: 41000 / 1000000
label -> error: 0.005505323	CV error: 0.006084723	epochs: 42000 / 1000000
label -> error: 0.0065512974	CV error: 0.0069564194	epochs: 43000 / 1000000
label -> error: 0.0055541564	CV error: 0.0054591163	epochs: 44000 / 1000000
label -> error: 0.0056876433	CV error: 0.0051331986	epochs: 45000 / 1000000
label -> error: 0.0062277047	CV error: 0.0048087877	epochs: 46000 / 1000000
label -> error: 0.0055980985	CV error: 0.0061754766	epochs: 47000 / 1000000
label -> error: 0.0060972287	CV error: 0.006983659	epochs: 48000 / 1000000
label -> error: 0.0053849355	CV error: 0.0051366123	epochs: 49000 / 1000000
label -> error: 0.0060868687	CV error: 0.005752737	epochs: 50000 / 1000000
label -> error: 0.0051084096	CV error: 0.005971806	epochs: 51000 / 1000000
label -> error: 0.005144429	CV error: 0.0056814193	epochs: 52000 / 1000000
label -> error: 0.005946163	CV error: 0.0047480925	epochs: 53000 / 1000000
label -> error: 0.0062528844	CV error: 0.0055903634	epochs: 54000 / 1000000
label -> error: 0.005439523	CV error: 0.004472528	epochs: 55000 / 1000000
label -> error: 0.0051376736	CV error: 0.0046925973	epochs: 56000 / 1000000
label -> error: 0.0054803235	CV error: 0.00516796	epochs: 57000 / 1000000
label -> error: 0.005054884	CV error: 0.005052653	epochs: 58000 / 1000000
label -> error: 0.0052928943	CV error: 0.005667567	epochs: 59000 / 1000000
label -> error: 0.005118597	CV error: 0.0046963124	epochs: 60000 / 1000000
label -> error: 0.004951033	CV error: 0.0047967215	epochs: 61000 / 1000000
label -> error: 0.0045061423	CV error: 0.005416309	epochs: 62000 / 1000000
label -> error: 0.0049741645	CV error: 0.0046891724	epochs: 63000 / 1000000
label -> error: 0.004838948	CV error: 0.004576973	epochs: 64000 / 1000000
label -> error: 0.0055386843	CV error: 0.005618517	epochs: 65000 / 1000000
label -> error: 0.004963348	CV error: 0.005719291	epochs: 66000 / 1000000
label -> error: 0.0054132626	CV error: 0.004751723	epochs: 67000 / 1000000
label -> error: 0.005181423	CV error: 0.0038101866	epochs: 68000 / 1000000
label -> error: 0.004722036	CV error: 0.005293495	epochs: 69000 / 1000000
label -> error: 0.0050488114	CV error: 0.00500679	epochs: 70000 / 1000000
label -> error: 0.0055159004	CV error: 0.004865337	epochs: 71000 / 1000000
label -> error: 0.0057388134	CV error: 0.005010498	epochs: 72000 / 1000000
label -> error: 0.005338539	CV error: 0.0046088733	epochs: 73000 / 1000000
label -> error: 0.0053221066	CV error: 0.0051210145	epochs: 74000 / 1000000
label -> error: 0.0047855033	CV error: 0.004961061	epochs: 75000 / 1000000
label -> error: 0.004617756	CV error: 0.0040657707	epochs: 76000 / 1000000
label -> error: 0.0042358283	CV error: 0.004852753	epochs: 77000 / 1000000
label -> error: 0.0048483037	CV error: 0.0045590526	epochs: 78000 / 1000000
label -> error: 0.005210284	CV error: 0.004236518	epochs: 79000 / 1000000
